kepid,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq
4150624,FALSE POSITIVE,94.225938,196.1319,22.08,530.4,1.93,348.0
4155328,CONFIRMED,127.8334997,293.41845,10.914,1829.9,9.46,554.0
4077526,CONFIRMED,10.21864532,136.8622,3.802,445.3,2.33,920.0
4077526,CONFIRMED,15.573637,132.44282,5.326,468.1,2.94,799.0
4077526,CONFIRMED,40.1015561,132.71244,5.246,550.0,2.92,583.0
10271806,CONFIRMED,5.924993927,169.71629,2.8874,1608.1,3.15,758.0
10271806,CONFIRMED,11.34934848,134.31805,3.1101,1249.8,2.39,610.0
10271806,CONFIRMED,3.13295351,135.67494,2.2207,435.2,1.39,937.0
10271806,CONFIRMED,18.64349986,141.62687,1.8491,813.4,2.14,517.0
10272442,CONFIRMED,24.5434566,187.92215,7.2518,1151.3,3.08,616.0
10358759,CONFIRMED,13.28689997,172.11932,3.2825,1039.6,2.78,715.0
10386984,CONFIRMED,1.287076693,169.815491,1.4942,729.4,1.39,871.0
10395381,CONFIRMED,17.6717714,186.3704,3.4202,918.6,2.44,513.0
10418797,FALSE POSITIVE,23.355341391,169.8339432,4.60672,38524.0,21.55,601.0
10419211,FALSE POSITIVE,11.521446064,170.839688,3.6399,17984.3,150.51,753.0
10583180,FALSE POSITIVE,2.696370652,170.73769,3.6129,397.9,1.58,1066.0
10601284,CONFIRMED,5.349553819,171.80694,3.0278,831.0,2.55,919.0
10601284,CONFIRMED,3.94105221,136.08662,2.5984,363.3,1.7,1018.0
10601284,CONFIRMED,8.10904807,132.8031,3.596,217.4,1.3,800.0
10662202,CONFIRMED,21.67699193,171.53594,3.4555,857.2,2.95,530.0
10910878,CONFIRMED,16.06864674,173.621937,3.5347,4914.3,5.76,600.0
10910878,CONFIRMED,41.19725502,165.00404,4.6297,2213.9,3.86,439.0
10910878,CONFIRMED,6.252962249,171.30126,2.5819,1036.9,2.65,823.0
10987985,CONFIRMED,16.01308419,176.3608,3.2554,1121.9,3.1,593.0
11018648,CONFIRMED,32.62876672,194.1019,4.7971,1804.8,3.36,506.0
11018648,CONFIRMED,91.7732862,193.8378,6.473,652.0,2.12,359.0
11138155,CONFIRMED,4.959319244,172.2585292,2.22739,9802.0,12.21,1103.0
5456651,CONFIRMED,56.2279271,132.29259,3.57,862.7,2.37,366.0
5481416,FALSE POSITIVE,2.384052875,171.58362,3.0918,1268.1,17.06,1010.0
5531576,CONFIRMED,7.953547,174.66224,2.6312,875.4,2.25,696.0
5531576,CONFIRMED,4.14451656,135.92831,2.3421,391.8,1.48,864.0
5534814,FALSE POSITIVE,4.859386384,173.011469,2.2757,6044.3,38.33,1114.0
5649215,FALSE POSITIVE,2.446737317,170.66951,4.7211,1177.9,26.25,1261.0
5651104,CONFIRMED,3.04033046,169.9490106,1.8411,10858.8,8.99,1021.0
8150320,CONFIRMED,27.9541337,178.73791,3.95,942.5,1.9,400.0
8150320,CONFIRMED,42.1406089,139.0604,5.083,895.5,1.85,349.0
8150320,CONFIRMED,4.617490562,135.04909,2.2618,575.8,1.62,728.0
8150320,CONFIRMED,10.19849255,137.92067,2.4283,634.1,1.75,559.0
8180063,FALSE POSITIVE,5.795063956,172.697467,3.2496,1692.9,4.33,950.0
8226994,CONFIRMED,7.15681552,174.13511,2.5882,867.0,2.47,782.0
8226994,CONFIRMED,17.64830851,133.54533,2.0873,763.3,2.43,579.0
9818381,CONFIRMED,3.024092505,132.4168573,2.8021,7765.0,12.14,1489.0
4044005,FALSE POSITIVE,17.512014768,174.282592,1.8248,4511.7,13.66,804.0
11502218,FALSE POSITIVE,3.9886021,171.01852,1.7376,673.5,34.39,3145.0
11180361,CANDIDATE,0.533059312,171.2274419,1.8621,1495.8,133.56,5862.0
11013201,CANDIDATE,13.118962443,261.539434,4.3045,372.2,8.25,1768.0
11013201,FALSE POSITIVE,7.82187328,123.49907,3.8417,42.2,2.78,2101.0
9414417,CANDIDATE,53.5057611,172.98304,10.5616,195.6,2.52,675.0
8218274,CANDIDATE,1.187352427,133.465454,4.999,20703.0,67.35,2251.0
8242681,FALSE POSITIVE,4.020628573,133.638478,4.4085,20901.0,16.94,1232.0
8260218,CANDIDATE,5.714817603,355.00831,3.14126,12294.8,9.29,943.0
8246781,FALSE POSITIVE,185.02288222,273.185533,4.87326,43546.7,49.82,379.0
8264070,FALSE POSITIVE,2.897432135,450.75739,3.1793,1223.7,14.35,2170.0
8222813,CONFIRMED,8.70420525,357.55941,2.9385,1074.9,2.86,748.0
8222813,CONFIRMED,2.46697039,354.93093,1.6345,308.7,1.56,1139.0
8279765,FALSE POSITIVE,2.757794163,135.232863,2.7644,39043.0,20.05,1231.0
8435247,CANDIDATE,0.696125302,354.767068,2.0054,14966.0,28.44,1645.0
